,st_power (MW),gt_power (MW),gross_power (MW),net_power (MW),lhv_efficiency (%),combustor_temperature (K),fuel_flow (kg/s),st_throttle_delta_pressure (bar),st_condenser_pressure (bar),st_throttle_inlet_temperature (K),st_throttle_outlet_temperature (K),fuel_cost_rate (USD/hr),other_variable_cost_rate (USD/hr),total_variable_cost_rate (USD/hr)
650.0,215.3933048913113,481.0013493766556,696.3946542679669,650.0,52.74407482705179,1642.247816936755,26.109447337608657,-4.863429303274178,0.09343316585144178,858.3305941561533,856.6514975899889,20594.375475504865,3665.798834639866,24260.174310144732
645.0,214.41527485149055,476.74060892949757,691.1558837809882,645.0,52.68739029719522,1641.33004096898,25.936479602056856,-5.60151602086374,0.09293284259945801,858.4087966274767,856.4741434997791,20457.94353786024,3641.5139497391224,24099.45748759936
640.0,213.43618001099037,472.480940418315,685.9171204293054,640.0,52.629881337385356,1640.4024927580635,25.76354285691029,-6.3395035702880325,0.0924347359435363,858.48782209629,856.2974591896289,20321.536044549193,3617.233415929756,23938.76946047895
635.0,212.45605456244172,468.2223067620889,680.6783613245307,635.0,52.57153521550685,1639.4650200171536,25.590635265565105,-7.0774203787086405,0.09193880529398725,858.567688754146,856.1214551062309,20185.151546911868,3592.956975350312,23778.10852226218
630.0,211.47486495296704,463.9647424275968,675.4396073805639,630.0,52.512332751174526,1638.5174829949456,25.41775793957677,-7.815270065729535,0.09144505778883238,858.6484135812153,855.946149137686,20048.790921711014,3568.6847840645605,23617.475705775574
625.0,210.49259698863003,459.70826149406247,670.2008584826924,625.0,52.4522558739726,1637.559734461842,25.24491121133915,-8.55306391610328,0.09095348631598324,858.7300144592858,855.7715574707821,19912.45443112928,3544.416888741012,23456.871319870294
620.0,209.50923612869997,455.45287845934854,664.9621145880485,620.0,52.391285875906554,1636.5916241365837,25.07209548445099,-9.290813634254429,0.09046408347632995,858.8125097092346,855.597696641435,19776.142393513663,3520.153346045432,23296.295739559093
615.0,208.52477240055478,451.19860305880263,659.7233754593575,615.0,52.329403819877726,1635.6129974054375,24.899311029413496,-10.02853322003023,0.08997683811032615,858.895918227569,855.4245830193471,19639.85502222768,3495.8941939565266,23135.749216184206
610.0,207.53918136379042,446.9454603670203,654.4846417308107,610.0,52.2665887904733,1634.623699870903,24.726558806751378,-10.766231980970158,0.08949174845299664,858.9802590145637,855.2522347712085,19503.59307490537,3471.639567333156,22975.232642238527
605.0,206.55245153096308,442.6934618608319,649.245913391795,605.0,52.202820317355744,1633.6235706124278,24.553839298808843,-11.503924760860796,0.08900880298364111,859.0655518798613,855.0806690062493,19367.35693200589,3447.389533897048,22814.746465902936
600.0,205.56456673333437,438.4426240424889,644.0071907758233,600.0,52.138076751646764,1632.6124463648816,24.381153273702463,-12.24162548218085,0.08852799261493398,859.1518170078557,854.909903591018,19231.147199397314,3423.1442014927215,22654.291400890033
595.0,204.5754791809397,434.1929968883408,638.7684760692805,595.0,52.07233272462047,1631.5901683647353,24.20850294926308,-12.97933731820543,0.08804932892275089,859.2390742507555,854.7399598803134,19094.96562644036,3398.903881506384,22493.869507946743
590.0,203.58523066406548,429.9445359118793,633.5297665759449,590.0,52.00557026427545,1630.5565514052364,24.03588680304639,-13.717097450357052,0.08757276121602682,859.327346334773,854.5708502877068,18958.811012275066,3374.6683601849613,22333.479372460028
